CONSTRUCTION,VERB,REDUCED,PARTICIPLE
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,_zero,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,na,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,za,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,po,no,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,_zero,yes,no
theme,na,yes,no
theme,na,yes,no
theme,na,yes,no
theme,na,yes,no
theme,na,yes,no
theme,na,yes,no
theme,na,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,za,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,po,yes,no
theme,_zero,no,yes
theme,na,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
theme,po,no,yes
